L_ID	CD8_Tcells_IF	CD4_Tcells_IF	total_Tcells_IF	CD8_Tcells_IMC	CD4_Tcells_IMC	total_Tcells_IMC
L7285	33.528642	53.183572	86.712214	4.511524	16.028248	20.539773
L7290	728.57869	133.30151	861.88019	30.68659	55.23587	85.92246
L7292	145.53724	53.37671	198.91395	76.88659	140.09209	216.97868
L7295	259.51726	198.86246	458.37973	47.98448	219.91185	267.89633
L7296	716.93072	220.62832	937.55904	53.98676	201.66718	255.65394
L7298	223.2573	103.422	326.6793	44.8654	141.737	186.6024
L7299	67.50347	56.60724	124.11071	37.97084	121.2146	159.18544
L7303	3.585082	7.561858	11.14694	1.729051	14.057362	15.786413
L7305	56.66065	45.59072	102.25137	32.2958	116.45998	148.75578
L7308	3765.3972	2137.9764	5903.3736	209.0644	407.9961	617.0606
L7309	1053.7409	1000.7379	2054.4788	284.8761	193.6369	478.5129
L7310	7.243878	5.673832	12.91771	11.18571	40.207633	51.393342
L7312	2.433286	3.707197	6.140483	1.815207	29.81001	31.625217
