"phenotype"	"cell_type"	"clusters"
"CD11c_HLADR_DCs"	"DCs"	"DCs"
"CD163_CD204_HLADR_Macrophages"	"Macrophages"	"Macrophages"
"CD163_CD204_HLADR_Monocytes"	"Monocytes"	"Monocytes"
"CD163_CD204_Macrophages"	"Macrophages"	"Macrophages"
"CD163_CD204_Monocytes"	"Monocytes"	"Monocytes"
"CD163_HLADR_Macrophages"	"Macrophages"	"Macrophages"
"CD163_HLADR_Monocytes"	"Monocytes"	"Monocytes"
"CD163_Macrophages"	"Macrophages"	"Macrophages"
"CD163_Monocytes"	"Monocytes"	"Monocytes"
"CD56_ILCs"	"ILCs"	"ILCs"
"CD57_Tumor"	"Tumor"	""
"D240_Tumor"	"Tumor"	""
"Granulocytes"	"Granulocytes"	"Rest"
"HLADR_DCs"	"DCs"	"DCs"
"ILCs"	"ILCs"	"ILCs"
"KI67_Tumor"	"Tumor"	""
"Monocytes"	"Monocytes"	"Monocytes"
"Tcells"	"Tcells"	"Tcells"
"Tumor"	"Tumor"	""
"Vessels"	"Vessels"	""
"Bcells"	"Bcells"	"Rest"
"CD56_Tumor"	"Tumor"	""
"CD57_ILCs"	"ILCs"	"ILCs"
"CD57_Tcells"	"Tcells"	"Tcells"
"CD8_KI67_Tcells"	"Tcells"	"Tcells"
"CD8_Tcells"	"Tcells"	"Tcells"
"gd_Tcells"	"Tcells"	"Tcells"
"KI67_ILCs"	"ILCs"	"ILCs"
"KI67_Tcells"	"Tcells"	"Tcells"
"Macrophages"	"Macrophages"	"Macrophages"
"PlasmaBcells"	"PlasmaBcells"	"Rest"
"Tregs"	"Tcells"	"Tcells"
